,id,name,color,habitat,shape,poke_type,capture_chance,height,weight,ability_0,ability_1,ability_2,sprite,description
247,248,tyranitar,green,mountain,upright,rock,0.18,20,2020,sand-stream,unnerve,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,green upright tyranitar who is of rock type and lives in mountain.
248,249,lugia,white,rare,wings,psychic,0.01,52,2160,pressure,multiscale,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,white wings lugia who is of psychic type and lives in rare.
249,250,ho-oh,red,rare,wings,fire,0.01,38,1990,pressure,regenerator,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,red wings ho-oh who is of fire type and lives in rare.
250,251,celebi,green,forest,humanoid,psychic,0.18,6,50,natural-cure,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,green humanoid celebi who is of psychic type and lives in forest.
251,252,treecko,green,forest,upright,grass,0.18,5,50,overgrow,unburden,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,green upright treecko who is of grass type and lives in forest.
252,253,grovyle,green,forest,upright,grass,0.18,9,216,overgrow,unburden,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,green upright grovyle who is of grass type and lives in forest.
253,254,sceptile,green,forest,upright,grass,0.18,17,522,overgrow,unburden,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,green upright sceptile who is of grass type and lives in forest.
254,255,torchic,red,grassland,legs,fire,0.18,4,25,blaze,speed-boost,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,red legs torchic who is of fire type and lives in grassland.
255,256,combusken,red,grassland,upright,fire,0.18,9,195,blaze,speed-boost,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,red upright combusken who is of fire type and lives in grassland.
256,257,blaziken,red,grassland,upright,fire,0.18,19,520,blaze,speed-boost,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,red upright blaziken who is of fire type and lives in grassland.
257,258,mudkip,blue,waters-edge,quadruped,water,0.18,4,76,torrent,damp,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,blue quadruped mudkip who is of water type and lives in waters-edge.
258,259,marshtomp,blue,waters-edge,upright,water,0.18,7,280,torrent,damp,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,blue upright marshtomp who is of water type and lives in waters-edge.
259,260,swampert,blue,waters-edge,upright,water,0.18,15,819,torrent,damp,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,blue upright swampert who is of water type and lives in waters-edge.
260,261,poochyena,gray,grassland,quadruped,dark,1.0,5,136,run-away,quick-feet,rattled,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,gray quadruped poochyena who is of dark type and lives in grassland.
261,262,mightyena,gray,grassland,quadruped,dark,0.5,10,370,intimidate,quick-feet,moxie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,gray quadruped mightyena who is of dark type and lives in grassland.
262,263,zigzagoon,brown,grassland,quadruped,normal,1.0,4,175,pickup,gluttony,quick-feet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,brown quadruped zigzagoon who is of normal type and lives in grassland.
263,264,linoone,white,grassland,quadruped,normal,0.35,5,325,pickup,gluttony,quick-feet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,white quadruped linoone who is of normal type and lives in grassland.
264,265,wurmple,red,forest,armor,bug,1.0,3,36,shield-dust,run-away,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,red armor wurmple who is of bug type and lives in forest.
265,266,silcoon,white,forest,ball,bug,0.47,6,100,shed-skin,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,white ball silcoon who is of bug type and lives in forest.
266,267,beautifly,yellow,forest,bug-wings,bug,0.18,10,284,swarm,rivalry,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,yellow bug-wings beautifly who is of bug type and lives in forest.
267,268,cascoon,purple,forest,ball,bug,0.47,7,115,shed-skin,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,purple ball cascoon who is of bug type and lives in forest.
268,269,dustox,green,forest,bug-wings,bug,0.18,12,316,shield-dust,compound-eyes,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,green bug-wings dustox who is of bug type and lives in forest.
269,270,lotad,green,waters-edge,armor,water,1.0,5,26,swift-swim,rain-dish,own-tempo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,green armor lotad who is of water type and lives in waters-edge.
270,271,lombre,green,waters-edge,humanoid,water,0.47,12,325,swift-swim,rain-dish,own-tempo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,green humanoid lombre who is of water type and lives in waters-edge.
271,272,ludicolo,green,waters-edge,humanoid,water,0.18,15,550,swift-swim,rain-dish,own-tempo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,green humanoid ludicolo who is of water type and lives in waters-edge.
272,273,seedot,brown,forest,legs,grass,1.0,5,40,chlorophyll,early-bird,pickpocket,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,brown legs seedot who is of grass type and lives in forest.
273,274,nuzleaf,brown,forest,humanoid,grass,0.47,10,280,chlorophyll,early-bird,pickpocket,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,brown humanoid nuzleaf who is of grass type and lives in forest.
274,275,shiftry,brown,forest,humanoid,grass,0.18,13,596,chlorophyll,wind-rider,pickpocket,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,brown humanoid shiftry who is of grass type and lives in forest.
275,276,taillow,blue,grassland,wings,normal,0.78,3,23,guts,scrappy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,blue wings taillow who is of normal type and lives in grassland.
276,277,swellow,blue,grassland,wings,normal,0.18,7,198,guts,scrappy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,blue wings swellow who is of normal type and lives in grassland.
277,278,wingull,white,sea,wings,water,0.75,6,95,keen-eye,hydration,rain-dish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,white wings wingull who is of water type and lives in sea.
278,279,pelipper,yellow,sea,wings,water,0.18,12,280,keen-eye,drizzle,rain-dish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,yellow wings pelipper who is of water type and lives in sea.
279,280,ralts,white,urban,humanoid,psychic,0.92,4,66,synchronize,trace,telepathy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,white humanoid ralts who is of psychic type and lives in urban.
280,281,kirlia,white,urban,humanoid,psychic,0.47,8,202,synchronize,trace,telepathy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,white humanoid kirlia who is of psychic type and lives in urban.
281,282,gardevoir,white,urban,humanoid,psychic,0.18,16,484,synchronize,trace,telepathy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,white humanoid gardevoir who is of psychic type and lives in urban.
282,283,surskit,blue,waters-edge,armor,bug,0.78,5,17,swift-swim,rain-dish,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,blue armor surskit who is of bug type and lives in waters-edge.
283,284,masquerain,blue,waters-edge,bug-wings,bug,0.29,8,36,intimidate,unnerve,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,blue bug-wings masquerain who is of bug type and lives in waters-edge.
284,285,shroomish,brown,forest,legs,grass,1.0,4,45,effect-spore,poison-heal,quick-feet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,brown legs shroomish who is of grass type and lives in forest.
285,286,breloom,green,forest,upright,grass,0.35,12,392,effect-spore,poison-heal,technician,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,green upright breloom who is of grass type and lives in forest.
286,287,slakoth,brown,forest,quadruped,normal,1.0,8,240,truant,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,brown quadruped slakoth who is of normal type and lives in forest.
287,288,vigoroth,white,forest,upright,normal,0.47,14,465,vital-spirit,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,white upright vigoroth who is of normal type and lives in forest.
288,289,slaking,brown,forest,humanoid,normal,0.18,20,1305,truant,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,brown humanoid slaking who is of normal type and lives in forest.
289,290,nincada,gray,forest,armor,bug,1.0,5,55,compound-eyes,run-away,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,gray armor nincada who is of bug type and lives in forest.
290,291,ninjask,yellow,forest,bug-wings,bug,0.47,8,120,speed-boost,infiltrator,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,yellow bug-wings ninjask who is of bug type and lives in forest.
291,292,shedinja,brown,forest,blob,bug,0.18,8,12,wonder-guard,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,brown blob shedinja who is of bug type and lives in forest.
292,293,whismur,pink,cave,upright,normal,0.75,6,163,soundproof,rattled,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,pink upright whismur who is of normal type and lives in cave.
293,294,loudred,blue,cave,upright,normal,0.47,10,405,soundproof,scrappy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,blue upright loudred who is of normal type and lives in cave.
294,295,exploud,blue,cave,upright,normal,0.18,15,840,soundproof,scrappy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,blue upright exploud who is of normal type and lives in cave.
295,296,makuhita,yellow,mountain,humanoid,fighting,0.71,10,864,thick-fat,guts,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,yellow humanoid makuhita who is of fighting type and lives in mountain.
296,297,hariyama,brown,mountain,humanoid,fighting,0.78,23,2538,thick-fat,guts,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,brown humanoid hariyama who is of fighting type and lives in mountain.
297,298,azurill,blue,waters-edge,legs,normal,0.59,2,20,thick-fat,huge-power,sap-sipper,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,blue legs azurill who is of normal type and lives in waters-edge.
298,299,nosepass,gray,cave,humanoid,rock,1.0,10,970,sturdy,magnet-pull,sand-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,gray humanoid nosepass who is of rock type and lives in cave.
299,300,skitty,pink,forest,quadruped,normal,1.0,6,110,cute-charm,normalize,wonder-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,pink quadruped skitty who is of normal type and lives in forest.
300,301,delcatty,purple,forest,quadruped,normal,0.24,11,326,cute-charm,normalize,wonder-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,purple quadruped delcatty who is of normal type and lives in forest.
301,302,sableye,purple,cave,humanoid,dark,0.18,5,110,keen-eye,stall,prankster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,purple humanoid sableye who is of dark type and lives in cave.
302,303,mawile,black,cave,humanoid,steel,0.18,6,115,hyper-cutter,intimidate,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,black humanoid mawile who is of steel type and lives in cave.
303,304,aron,gray,mountain,quadruped,steel,0.71,4,600,sturdy,rock-head,heavy-metal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,gray quadruped aron who is of steel type and lives in mountain.
304,305,lairon,gray,mountain,quadruped,steel,0.35,9,1200,sturdy,rock-head,heavy-metal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,gray quadruped lairon who is of steel type and lives in mountain.
305,306,aggron,gray,mountain,upright,steel,0.18,21,3600,sturdy,rock-head,heavy-metal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,gray upright aggron who is of steel type and lives in mountain.
306,307,meditite,blue,mountain,humanoid,fighting,0.71,6,112,pure-power,telepathy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,blue humanoid meditite who is of fighting type and lives in mountain.
307,308,medicham,red,mountain,humanoid,fighting,0.35,13,315,pure-power,telepathy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,red humanoid medicham who is of fighting type and lives in mountain.
308,309,electrike,green,grassland,quadruped,electric,0.47,6,152,static,lightning-rod,minus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,green quadruped electrike who is of electric type and lives in grassland.
309,310,manectric,yellow,grassland,quadruped,electric,0.18,15,402,static,lightning-rod,minus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,yellow quadruped manectric who is of electric type and lives in grassland.
310,311,plusle,yellow,grassland,upright,electric,0.78,4,42,plus,lightning-rod,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,yellow upright plusle who is of electric type and lives in grassland.
311,312,minun,yellow,grassland,upright,electric,0.78,4,42,minus,volt-absorb,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,yellow upright minun who is of electric type and lives in grassland.
312,313,volbeat,gray,forest,upright,bug,0.59,7,177,illuminate,swarm,prankster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,gray upright volbeat who is of bug type and lives in forest.
313,314,illumise,purple,forest,humanoid,bug,0.59,6,177,oblivious,tinted-lens,prankster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,purple humanoid illumise who is of bug type and lives in forest.
314,315,roselia,green,grassland,humanoid,grass,0.59,3,20,natural-cure,poison-point,leaf-guard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,green humanoid roselia who is of grass type and lives in grassland.
315,316,gulpin,green,grassland,arms,poison,0.88,4,103,liquid-ooze,sticky-hold,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,green arms gulpin who is of poison type and lives in grassland.
316,317,swalot,purple,grassland,arms,poison,0.29,17,800,liquid-ooze,sticky-hold,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,purple arms swalot who is of poison type and lives in grassland.
317,318,carvanha,red,sea,fish,water,0.88,8,208,rough-skin,speed-boost,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,red fish carvanha who is of water type and lives in sea.
318,319,sharpedo,blue,sea,fish,water,0.24,18,888,rough-skin,speed-boost,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,blue fish sharpedo who is of water type and lives in sea.
319,320,wailmer,blue,sea,fish,water,0.49,20,1300,water-veil,oblivious,pressure,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,blue fish wailmer who is of water type and lives in sea.
320,321,wailord,blue,sea,fish,water,0.24,145,3980,water-veil,oblivious,pressure,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,blue fish wailord who is of water type and lives in sea.
321,322,numel,yellow,mountain,quadruped,fire,1.0,7,240,oblivious,simple,own-tempo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,yellow quadruped numel who is of fire type and lives in mountain.
322,323,camerupt,red,mountain,quadruped,fire,0.59,19,2200,magma-armor,solid-rock,anger-point,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,red quadruped camerupt who is of fire type and lives in mountain.
323,324,torkoal,brown,mountain,quadruped,fire,0.35,5,804,white-smoke,drought,shell-armor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,brown quadruped torkoal who is of fire type and lives in mountain.
324,325,spoink,black,mountain,arms,psychic,1.0,7,306,thick-fat,own-tempo,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,black arms spoink who is of psychic type and lives in mountain.
325,326,grumpig,purple,mountain,upright,psychic,0.24,9,715,thick-fat,own-tempo,gluttony,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,purple upright grumpig who is of psychic type and lives in mountain.
326,327,spinda,brown,mountain,upright,normal,1.0,11,50,own-tempo,tangled-feet,contrary,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,brown upright spinda who is of normal type and lives in mountain.
327,328,trapinch,brown,rough-terrain,armor,ground,1.0,7,150,hyper-cutter,arena-trap,sheer-force,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,brown armor trapinch who is of ground type and lives in rough-terrain.
328,329,vibrava,green,rough-terrain,bug-wings,ground,0.47,11,153,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,green bug-wings vibrava who is of ground type and lives in rough-terrain.
329,330,flygon,green,rough-terrain,wings,ground,0.18,20,820,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,green wings flygon who is of ground type and lives in rough-terrain.
330,331,cacnea,green,rough-terrain,humanoid,grass,0.75,4,513,sand-veil,water-absorb,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,green humanoid cacnea who is of grass type and lives in rough-terrain.
331,332,cacturne,green,rough-terrain,humanoid,grass,0.24,13,774,sand-veil,water-absorb,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,green humanoid cacturne who is of grass type and lives in rough-terrain.
332,333,swablu,blue,forest,wings,normal,1.0,4,12,natural-cure,cloud-nine,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,blue wings swablu who is of normal type and lives in forest.
333,334,altaria,blue,forest,wings,dragon,0.18,11,206,natural-cure,cloud-nine,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,blue wings altaria who is of dragon type and lives in forest.
334,335,zangoose,white,grassland,upright,normal,0.35,13,403,immunity,toxic-boost,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,white upright zangoose who is of normal type and lives in grassland.
335,336,seviper,black,grassland,squiggle,poison,0.35,27,525,shed-skin,infiltrator,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,black squiggle seviper who is of poison type and lives in grassland.
336,337,lunatone,yellow,cave,ball,rock,0.18,10,1680,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,yellow ball lunatone who is of rock type and lives in cave.
337,338,solrock,red,cave,ball,rock,0.18,12,1540,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,red ball solrock who is of rock type and lives in cave.
338,339,barboach,gray,waters-edge,fish,water,0.75,4,19,oblivious,anticipation,hydration,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,gray fish barboach who is of water type and lives in waters-edge.
339,340,whiscash,blue,waters-edge,fish,water,0.29,9,236,oblivious,anticipation,hydration,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,blue fish whiscash who is of water type and lives in waters-edge.
340,341,corphish,red,waters-edge,armor,water,0.8,6,115,hyper-cutter,shell-armor,adaptability,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,red armor corphish who is of water type and lives in waters-edge.
341,342,crawdaunt,red,waters-edge,armor,water,0.61,11,328,hyper-cutter,shell-armor,adaptability,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,red armor crawdaunt who is of water type and lives in waters-edge.
342,343,baltoy,brown,rough-terrain,arms,ground,1.0,5,215,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,brown arms baltoy who is of ground type and lives in rough-terrain.
343,344,claydol,black,rough-terrain,arms,ground,0.35,15,1080,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,black arms claydol who is of ground type and lives in rough-terrain.
344,345,lileep,purple,sea,blob,rock,0.18,10,238,suction-cups,storm-drain,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,purple blob lileep who is of rock type and lives in sea.
345,346,cradily,green,sea,blob,rock,0.18,15,604,suction-cups,storm-drain,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,green blob cradily who is of rock type and lives in sea.
346,347,anorith,gray,waters-edge,armor,rock,0.18,7,125,battle-armor,swift-swim,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,gray armor anorith who is of rock type and lives in waters-edge.
347,348,armaldo,gray,waters-edge,upright,rock,0.18,15,682,battle-armor,swift-swim,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,gray upright armaldo who is of rock type and lives in waters-edge.
348,349,feebas,brown,waters-edge,fish,water,1.0,6,74,swift-swim,oblivious,adaptability,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,brown fish feebas who is of water type and lives in waters-edge.
349,350,milotic,pink,waters-edge,squiggle,water,0.24,62,1620,marvel-scale,competitive,cute-charm,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,pink squiggle milotic who is of water type and lives in waters-edge.
350,351,castform,gray,grassland,ball,normal,0.18,3,8,forecast,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,gray ball castform who is of normal type and lives in grassland.
351,352,kecleon,green,forest,upright,normal,0.78,10,220,color-change,protean,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,green upright kecleon who is of normal type and lives in forest.
352,353,shuppet,black,urban,ball,ghost,0.88,6,23,insomnia,frisk,cursed-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,black ball shuppet who is of ghost type and lives in urban.
353,354,banette,black,urban,upright,ghost,0.18,11,125,insomnia,frisk,cursed-body,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,black upright banette who is of ghost type and lives in urban.
354,355,duskull,black,forest,arms,ghost,0.75,8,150,levitate,frisk,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,black arms duskull who is of ghost type and lives in forest.
355,356,dusclops,black,forest,humanoid,ghost,0.35,16,306,pressure,frisk,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,black humanoid dusclops who is of ghost type and lives in forest.
356,357,tropius,green,forest,quadruped,grass,0.78,20,1000,chlorophyll,solar-power,harvest,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,green quadruped tropius who is of grass type and lives in forest.
357,358,chimecho,blue,grassland,arms,psychic,0.18,6,10,levitate,None,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,blue arms chimecho who is of psychic type and lives in grassland.
358,359,absol,white,mountain,quadruped,dark,0.12,12,470,pressure,super-luck,justified,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,white quadruped absol who is of dark type and lives in mountain.
359,360,wynaut,blue,cave,upright,psychic,0.49,6,140,shadow-tag,telepathy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,blue upright wynaut who is of psychic type and lives in cave.
360,361,snorunt,gray,cave,humanoid,ice,0.75,7,168,inner-focus,ice-body,moody,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,gray humanoid snorunt who is of ice type and lives in cave.
361,362,glalie,gray,cave,ball,ice,0.29,15,2565,inner-focus,ice-body,moody,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,gray ball glalie who is of ice type and lives in cave.
362,363,spheal,blue,sea,fish,ice,1.0,8,395,thick-fat,ice-body,oblivious,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,blue fish spheal who is of ice type and lives in sea.
363,364,sealeo,blue,sea,fish,ice,0.47,11,876,thick-fat,ice-body,oblivious,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,blue fish sealeo who is of ice type and lives in sea.
364,365,walrein,blue,sea,quadruped,ice,0.18,14,1506,thick-fat,ice-body,oblivious,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,blue quadruped walrein who is of ice type and lives in sea.
365,366,clamperl,blue,sea,ball,water,1.0,4,525,shell-armor,rattled,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,blue ball clamperl who is of water type and lives in sea.
366,367,huntail,blue,sea,squiggle,water,0.24,17,270,swift-swim,water-veil,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,blue squiggle huntail who is of water type and lives in sea.
367,368,gorebyss,pink,sea,squiggle,water,0.24,18,226,swift-swim,hydration,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,pink squiggle gorebyss who is of water type and lives in sea.
368,369,relicanth,gray,sea,fish,water,0.1,10,234,swift-swim,rock-head,sturdy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,gray fish relicanth who is of water type and lives in sea.
369,370,luvdisc,pink,sea,fish,water,0.88,6,87,swift-swim,hydration,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,pink fish luvdisc who is of water type and lives in sea.
370,371,bagon,blue,rough-terrain,humanoid,dragon,0.18,6,421,rock-head,sheer-force,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,blue humanoid bagon who is of dragon type and lives in rough-terrain.
371,372,shelgon,white,rough-terrain,quadruped,dragon,0.18,11,1105,rock-head,overcoat,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,white quadruped shelgon who is of dragon type and lives in rough-terrain.
372,373,salamence,blue,rough-terrain,quadruped,dragon,0.18,15,1026,intimidate,moxie,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,blue quadruped salamence who is of dragon type and lives in rough-terrain.
373,374,beldum,blue,rough-terrain,blob,steel,0.01,6,952,clear-body,light-metal,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,blue blob beldum who is of steel type and lives in rough-terrain.
374,375,metang,blue,rough-terrain,arms,steel,0.01,12,2025,clear-body,light-metal,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,blue arms metang who is of steel type and lives in rough-terrain.
375,376,metagross,blue,rough-terrain,heads,steel,0.01,16,5500,clear-body,light-metal,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,blue heads metagross who is of steel type and lives in rough-terrain.
376,377,regirock,brown,cave,humanoid,rock,0.01,17,2300,clear-body,sturdy,None,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,brown humanoid regirock who is of rock type and lives in cave.
